CustomerID,Recency,Frequency,Monetary,AvgDaysBetweenOrders,WeekendRatio,CountryEncoded
12346.0,326,1,77183.6,,0.0,20.861861564763192
12347.0,2,7,4310.0,60.333333333333336,0.0,23.681318681318682
12348.0,75,4,1797.24,94.0,0.0967741935483871,32.913985401459854
12349.0,19,1,1757.55,,0.0,23.06496042216359
12350.0,310,1,334.4,,0.0,33.76791783380019
12352.0,36,8,2506.04,36.857142857142854,0.0,33.76791783380019
12353.0,204,1,89.0,,0.0,32.258823529411764
12354.0,232,1,1079.4,,0.0,24.83201290843082
12355.0,214,1,459.4,,0.0,32.258823529411764
12356.0,23,3,2811.43,151.0,0.0,22.970295939435655
12357.0,33,1,6207.67,,1.0,30.659397066811515
12358.0,2,2,1168.06,149.0,0.0,25.624824120603016
12359.0,58,4,6310.03,91.0,0.0,22.39278606965174
12360.0,52,3,2662.06,74.0,0.0,25.624824120603016
12361.0,287,1,189.9,,0.0,20.28377154111275
12362.0,3,10,5226.23,31.88888888888889,0.0,20.28377154111275
12363.0,110,2,552.0,132.0,0.0,11.040539419087137
12364.0,8,4,1313.1,34.333333333333336,0.25882352941176473,20.28377154111275
12365.0,291,2,641.38,0.0,0.0,22.39278606965174
12367.0,4,1,168.9,,0.0,49.882473684210524
12370.0,51,4,3541.94,102.66666666666667,0.0,22.39278606965174
12371.0,45,2,1887.96,14.0,0.0,30.659397066811515
12372.0,72,3,1298.04,112.0,0.0,49.882473684210524
12373.0,311,1,364.6,,0.0,25.624824120603016
12374.0,25,1,742.9300000000001,,0.0,25.624824120603016
12375.0,11,2,457.5,87.0,0.0,32.913985401459854
12377.0,315,2,1628.12,39.0,0.0,30.659397066811515
12378.0,130,1,4008.62,,0.0,30.659397066811515
12379.0,82,2,852.24,88.0,0.0,20.28377154111275
12380.0,22,4,2724.81,54.0,0.0,20.28377154111275
12381.0,5,5,1845.31,28.25,0.1839080459770115,33.76791783380019
12383.0,185,5,1850.56,41.25,0.0,20.28377154111275
12384.0,29,2,585.27,92.0,0.0,30.659397066811515
12386.0,338,2,401.9,29.0,0.0,117.23438611346316
12388.0,16,6,2780.66,61.8,0.22,117.23438611346316
12390.0,80,1,549.84,,0.0,20.28377154111275
12391.0,22,1,439.66,,0.0,22.39278606965174
12393.0,72,4,1582.6000000000001,86.33333333333333,0.0,117.23438611346316
12394.0,64,2,1272.48,153.0,0.0,20.28377154111275
12395.0,19,12,3018.63,31.454545454545453,0.09615384615384616,20.28377154111275
12397.0,36,2,2409.9,99.0,0.0,20.28377154111275
12398.0,46,1,1635.6599999999999,,0.0,30.659397066811515
12399.0,119,4,1108.65,47.333333333333336,0.0,20.28377154111275
12401.0,303,1,84.3,,0.0,20.28377154111275
12402.0,323,1,225.6,,0.0,20.28377154111275
12403.0,50,1,427.7,,0.0,49.882473684210524
12405.0,149,1,1710.39,,0.0,32.913985401459854
12406.0,22,2,3415.3,161.0,0.0,49.882473684210524
12407.0,50,5,1708.1200000000001,53.0,0.19480519480519481,20.28377154111275
12408.0,33,5,2888.55,56.5,0.0,20.28377154111275
12409.0,79,3,11072.67,51.5,0.0,30.659397066811515
12410.0,309,2,693.3299999999999,0.0,0.0,30.659397066811515
12412.0,75,3,1226.88,46.5,0.0,49.882473684210524
12413.0,67,3,758.1,134.5,0.10526315789473684,25.094200096084553
12414.0,217,3,562.41,46.0,0.0,25.624824120603016
12415.0,24,21,124914.53,15.15,0.0,117.23438611346316
12417.0,3,9,3649.1,43.75,0.11979166666666667,20.28377154111275
12418.0,113,1,668.58,,0.0,30.659397066811515
12420.0,64,1,600.39,,0.0,22.39278606965174
12421.0,16,4,807.04,100.33333333333333,0.3111111111111111,24.83201290843082
12422.0,96,3,803.5600000000001,114.0,0.0,117.23438611346316
12423.0,1,8,1859.31,49.857142857142854,0.0,20.28377154111275
12424.0,163,2,1760.96,0.0,0.0,117.23438611346316
12425.0,78,1,777.2,,0.0,22.970295939435655
12426.0,195,1,582.73,,1.0,25.338326869806092
12427.0,22,3,825.8,174.5,0.0,25.338326869806092
12428.0,26,9,7956.46,31.875,0.034013605442176874,32.913985401459854
12429.0,9,4,3750.4,118.33333333333333,0.0,49.882473684210524
12430.0,43,1,256.4,,0.0,33.76791783380019
12431.0,36,15,6419.95,23.714285714285715,0.1282051282051282,117.23438611346316
12432.0,43,5,5059.32,32.0,0.0,33.76791783380019
12433.0,1,7,13375.87,61.666666666666664,0.0,33.76791783380019
12434.0,85,2,806.14,175.0,0.0,117.23438611346316
12435.0,80,2,7829.89,188.0,0.0,49.882473684210524
12436.0,100,1,509.01,,0.0,33.76791783380019
12437.0,2,18,4951.41,18.941176470588236,0.0,25.094200096084553
12438.0,14,2,2906.85,125.0,0.0,33.76791783380019
12441.0,367,1,173.55,,0.0,25.094200096084553
12442.0,3,1,172.06,,0.0,24.83201290843082
12444.0,21,5,5005.46,37.25,0.0,33.76791783380019
12445.0,22,1,133.4,,0.0,24.83201290843082
12446.0,58,1,1002.3100000000001,,0.0,17.584385964912283
12447.0,243,1,476.49,,1.0,20.28377154111275
12448.0,44,1,449.45,,0.0,24.83201290843082
12449.0,22,4,4067.29,54.333333333333336,0.2513089005235602,20.28377154111275
12450.0,156,2,197.88,17.0,0.75,24.83201290843082
12451.0,11,5,9035.52,77.75,0.0,30.659397066811515
12452.0,17,2,430.57,0.0,0.0,30.659397066811515
12453.0,134,1,707.09,,0.0,25.624824120603016
12454.0,56,1,3528.34,,0.0,24.83201290843082
12455.0,73,6,2466.86,44.2,0.0,24.83201290843082
12456.0,44,3,3181.04,104.5,0.36,30.659397066811515
12457.0,66,7,2363.23,28.166666666666668,0.0,30.659397066811515
12458.0,71,2,947.4,213.0,0.0,30.659397066811515
12461.0,94,2,826.88,60.0,0.0,30.659397066811515
12462.0,19,2,1189.59,284.0,0.0,24.83201290843082
12463.0,53,4,1344.78,62.0,0.0,20.28377154111275
12464.0,10,8,1212.05,42.285714285714285,0.0,20.28377154111275
12465.0,17,2,742.1899999999999,152.0,0.0,20.28377154111275
12468.0,188,2,729.5400000000001,128.0,0.6842105263157895,25.338326869806092
12471.0,2,30,19788.65,12.172413793103448,0.0,25.338326869806092
12472.0,32,7,6572.11,55.666666666666664,0.3333333333333333,25.338326869806092
12473.0,29,5,3928.0499999999997,40.25,0.0,25.338326869806092
12474.0,17,18,7324.09,17.823529411764707,0.002369668246445498,25.338326869806092
12475.0,54,1,723.38,,0.0,25.338326869806092
12476.0,16,11,6816.42,34.1,0.0,25.338326869806092
12477.0,23,6,13219.74,55.4,0.0,25.338326869806092
12478.0,4,1,680.99,,0.0,32.831172413793105
12479.0,11,1,527.2,,0.0,25.338326869806092
12480.0,28,4,3281.63,102.33333333333333,0.0,25.338326869806092
12481.0,23,10,5579.82,37.666666666666664,0.0,25.338326869806092
12483.0,17,8,2484.98,45.285714285714285,0.21333333333333335,85.26184444444445
12484.0,33,6,4527.32,60.2,0.3498542274052478,24.83201290843082
12488.0,10,3,1298.66,32.5,0.38181818181818183,25.094200096084553
12489.0,336,1,334.93,,0.0,25.094200096084553
12490.0,5,10,5417.93,35.666666666666664,0.20408163265306123,25.094200096084553
12491.0,39,1,460.40000000000003,,0.0,25.094200096084553
12492.0,63,2,263.21000000000004,42.0,0.0,25.338326869806092
12493.0,166,2,433.74,31.0,0.0,25.094200096084553
12494.0,16,7,1246.1000000000001,57.666666666666664,0.19480519480519481,25.094200096084553
12497.0,82,1,1043.1,,0.0,25.338326869806092
12498.0,21,3,403.70000000000005,18.0,0.0,25.338326869806092
12500.0,23,11,4257.82,30.7,0.0,25.338326869806092
12501.0,337,1,2169.39,,0.0,25.338326869806092
12502.0,96,5,3723.87,53.25,0.0,24.83201290843082
12504.0,18,2,482.04999999999995,12.0,0.0,25.338326869806092
12506.0,233,1,73.5,,0.0,25.094200096084553
12507.0,134,3,1304.81,82.0,0.0,24.83201290843082
12508.0,26,2,397.88,2.0,0.25,25.094200096084553
12509.0,284,1,176.5,,0.0,25.094200096084553
12510.0,143,2,982.5699999999999,182.0,0.0,24.83201290843082
12512.0,66,2,132.18,0.0,0.0,29.452408163265307
12513.0,113,1,612.29,,0.0,25.094200096084553
12514.0,267,1,1017.68,,0.0,23.06496042216359
12515.0,353,1,383.7,,0.0,23.06496042216359
12516.0,78,2,1312.06,102.0,0.5,25.338326869806092
12517.0,28,5,2481.6,40.0,0.0,25.338326869806092
12518.0,1,5,2056.89,27.0,0.14516129032258066,25.338326869806092
12519.0,64,1,330.84,,0.0,25.338326869806092
12520.0,79,5,2634.26,48.25,0.0,25.338326869806092
12521.0,143,1,599.68,,0.0,25.338326869806092
12522.0,39,2,192.72,12.0,0.0,25.338326869806092
12523.0,19,11,1789.77,30.8,0.19811320754716982,25.094200096084553
12524.0,9,8,4485.72,45.857142857142854,0.22916666666666666,25.338326869806092
12526.0,1,3,1316.66,46.5,0.0,25.338326869806092
12527.0,82,3,348.71000000000004,121.5,0.0,25.338326869806092
12528.0,9,6,1933.48,60.4,0.0,25.338326869806092
12530.0,60,4,1662.28,92.0,0.0,25.338326869806092
12531.0,15,1,125.22,,0.0,25.338326869806092
12532.0,30,1,349.83000000000004,,0.0,25.094200096084553
12534.0,131,1,1089.18,,0.0,25.338326869806092
12535.0,92,2,716.35,94.0,0.0,25.094200096084553
12536.0,43,3,12601.830000000002,7.5,0.0,25.094200096084553
12538.0,29,1,363.95,,0.0,24.83201290843082
12539.0,22,4,5568.35,103.33333333333333,0.0,24.83201290843082
12540.0,20,17,13400.24,20.875,0.056485355648535567,24.83201290843082
12541.0,30,3,981.18,125.0,0.21153846153846154,24.83201290843082
12544.0,36,1,372.7,,0.0,24.83201290843082
12545.0,75,2,1000.39,184.0,0.32,24.83201290843082
12546.0,47,2,1161.5,31.0,0.0,24.83201290843082
12547.0,198,2,207.79999999999998,82.0,0.0,24.83201290843082
12548.0,166,1,95.19999999999999,,1.0,24.83201290843082
12550.0,79,1,964.83,,0.0,24.83201290843082
12551.0,358,1,168.0,,0.0,24.83201290843082
12552.0,39,2,437.82,0.0,0.0,23.06496042216359
12553.0,8,10,3692.28,35.22222222222222,0.11518324607329843,25.094200096084553
12556.0,50,2,599.56,100.0,0.0,24.83201290843082
12557.0,16,5,11990.960000000001,88.25,0.0,24.83201290843082
12558.0,8,1,269.96,,0.0,20.00217877094972
